Time,Input to input,Clock clk,Input to 2 Bit Counter 1,NS of 2 Bit Counter 1,PS of 2 Bit Counter 1,output of 2 Bit Counter 1,Input to 2 Bit Counter 2,NS of 2 Bit Counter 2,PS of 2 Bit Counter 2,output of 2 Bit Counter 2,Final Output from Output
10.799999999999999,1,1,1,3,2,4,0,2,2,4,10
11.0,1,0,1,3,2,4,0,2,2,4,10
11.5,1,1,1,3,2,4,0,2,2,4,10
11.6,1,1,1,3,3,4,0,2,2,4,10
11.7,1,1,1,0,3,7,1,2,2,4,11
11.799999999999999,1,1,1,0,3,7,1,3,2,4,11
12.0,1,0,1,0,3,7,1,3,2,4,11
12.5,1,1,1,0,3,7,1,3,2,4,11
12.6,1,1,1,0,0,7,1,3,3,4,11
12.7,1,1,1,1,0,0,0,0,3,7,12
12.799999999999999,1,1,1,1,0,0,0,3,3,7,12
13.0,1,0,1,1,0,0,0,3,3,7,12
13.5,1,1,1,1,0,0,0,3,3,7,12
13.6,1,1,1,1,1,0,0,3,3,7,12
13.7,1,1,1,2,1,2,0,3,3,7,13
13.799999999999999,1,1,1,2,1,2,0,3,3,7,13
14.0,1,0,1,2,1,2,0,3,3,7,13
14.5,1,1,1,2,1,2,0,3,3,7,13
14.6,1,1,1,2,2,2,0,3,3,7,13
14.7,1,1,1,3,2,4,0,3,3,7,14
14.799999999999999,1,1,1,3,2,4,0,3,3,7,14
15.0,1,0,1,3,2,4,0,3,3,7,14
15.5,1,1,1,3,2,4,0,3,3,7,14
15.6,1,1,1,3,3,4,0,3,3,7,14
15.7,1,1,1,0,3,7,1,3,3,7,15
15.799999999999999,1,1,1,0,3,7,1,0,3,7,15
16.0,1,0,1,0,3,7,1,0,3,7,15
16.5,1,1,1,0,3,7,1,0,3,7,15
16.6,1,1,1,0,0,7,1,0,0,7,15
16.700000000000003,1,1,1,1,0,0,0,1,0,0,0
16.800000000000004,1,1,1,1,0,0,0,0,0,0,0
17.0,1,0,1,1,0,0,0,0,0,0,0
17.5,1,1,1,1,0,0,0,0,0,0,0
17.6,1,1,1,1,1,0,0,0,0,0,0
17.700000000000003,1,1,1,2,1,2,0,0,0,0,1
17.800000000000004,1,1,1,2,1,2,0,0,0,0,1
18.0,1,0,1,2,1,2,0,0,0,0,1
18.5,1,1,1,2,1,2,0,0,0,0,1
18.6,1,1,1,2,2,2,0,0,0,0,1
18.700000000000003,1,1,1,3,2,4,0,0,0,0,2
18.800000000000004,1,1,1,3,2,4,0,0,0,0,2
19.0,1,0,1,3,2,4,0,0,0,0,2
19.5,1,1,1,3,2,4,0,0,0,0,2
19.6,1,1,1,3,3,4,0,0,0,0,2
19.700000000000003,1,1,1,0,3,7,1,0,0,0,3
19.800000000000004,1,1,1,0,3,7,1,1,0,0,3
20.0,1,0,1,0,3,7,1,1,0,0,3
20.5,1,1,1,0,3,7,1,1,0,0,3
20.6,1,1,1,0,0,7,1,1,1,0,3
20.700000000000003,1,1,1,1,0,0,0,2,1,2,4
20.800000000000004,1,1,1,1,0,0,0,1,1,2,4
21.0,1,0,1,1,0,0,0,1,1,2,4
21.5,1,1,1,1,0,0,0,1,1,2,4
21.6,1,1,1,1,1,0,0,1,1,2,4
21.700000000000003,1,1,1,2,1,2,0,1,1,2,5
21.800000000000004,1,1,1,2,1,2,0,1,1,2,5
22.0,1,0,1,2,1,2,0,1,1,2,5
22.5,1,1,1,2,1,2,0,1,1,2,5
22.6,1,1,1,2,2,2,0,1,1,2,5
22.700000000000003,1,1,1,3,2,4,0,1,1,2,6
22.800000000000004,1,1,1,3,2,4,0,1,1,2,6
23.0,1,0,1,3,2,4,0,1,1,2,6
23.5,1,1,1,3,2,4,0,1,1,2,6
23.6,1,1,1,3,3,4,0,1,1,2,6
23.700000000000003,1,1,1,0,3,7,1,1,1,2,7
23.800000000000004,1,1,1,0,3,7,1,2,1,2,7
24.0,1,0,1,0,3,7,1,2,1,2,7
24.5,1,1,1,0,3,7,1,2,1,2,7
24.6,1,1,1,0,0,7,1,2,2,2,7
24.700000000000003,1,1,1,1,0,0,0,3,2,4,8
24.800000000000004,1,1,1,1,0,0,0,2,2,4,8
25.0,1,0,1,1,0,0,0,2,2,4,8
25.5,1,1,1,1,0,0,0,2,2,4,8
25.6,1,1,1,1,1,0,0,2,2,4,8
25.700000000000003,1,1,1,2,1,2,0,2,2,4,9
25.800000000000004,1,1,1,2,1,2,0,2,2,4,9
26.0,1,0,1,2,1,2,0,2,2,4,9
26.5,1,1,1,2,1,2,0,2,2,4,9
26.6,1,1,1,2,2,2,0,2,2,4,9
26.700000000000003,1,1,1,3,2,4,0,2,2,4,10
26.800000000000004,1,1,1,3,2,4,0,2,2,4,10
27.0,1,0,1,3,2,4,0,2,2,4,10
27.5,1,1,1,3,2,4,0,2,2,4,10
27.6,1,1,1,3,3,4,0,2,2,4,10
27.700000000000003,1,1,1,0,3,7,1,2,2,4,11
27.800000000000004,1,1,1,0,3,7,1,3,2,4,11
28.0,1,0,1,0,3,7,1,3,2,4,11
28.5,1,1,1,0,3,7,1,3,2,4,11
28.6,1,1,1,0,0,7,1,3,3,4,11
28.700000000000003,1,1,1,1,0,0,0,0,3,7,12
28.800000000000004,1,1,1,1,0,0,0,3,3,7,12
29.0,1,0,1,1,0,0,0,3,3,7,12
29.5,1,1,1,1,0,0,0,3,3,7,12
29.6,1,1,1,1,1,0,0,3,3,7,12
29.700000000000003,1,1,1,2,1,2,0,3,3,7,13
29.800000000000004,1,1,1,2,1,2,0,3,3,7,13
30.800000000000004,1,1,1,2,1,2,0,3,3,7,13
